811	1008	1988
777	820	1935
773	688	2000
772	801	2056
769	679	1968
768	708	1828
731	1777	1651
723	1379	1536
699	1866	1450
695	1403	1211
690	1299	1225
681	1436	1158
677	1413	1356
630	1648	1144
626	1338	1004
517	1488	875
323	1321	997
311	1390	1042
297	1593	1116
274	1419	1146
212	1839	1808
182	1602	1834
174	1381	1683
231	1236	1332
330	1173	924
413	765	879
531	683	887
688	923	1290
714	814	1469
771	1058	1824
749	544	2094
742	413	2014
679	105	2025
659	117	1852
637	616	1283
637	222	1480
636	57	1788
625	444	1218
613	155	1555
581	285	1272
568	81	1499
550	506	1043
537	433	1082
533	226	1233
326	358	1204
288	137	1675
174	500	2090
232	458	1626
190	410	2014
355	913	927
774	1671	2099
781	1045	1663
516	644	812
397	580	952
388	583	990
180	1795	1853
575	551	1064
424	1656	923
499	344	973
