278	860	1847
283	1096	1901
283	1016	1614
286	1085	1597
287	1320	1805
379	1459	1063
475	1889	1561
493	1846	1602
584	1417	1190
597	1435	1287
602	1603	1518
622	1263	1258
623	1520	1982
633	1461	1898
631	1177	1267
651	1261	2035
658	1129	1828
660	1039	1875
663	1104	1840
670	923	1571
655	644	1541
651	539	1616
630	917	1134
602	265	1852
534	346	1092
398	176	1780
336	717	1247
336	273	1541
311	437	1680
311	416	1637
307	689	1503
302	668	1943
295	854	1365
518	843	873
528	957	871
539	1131	849
539	1035	893
539	1104	895
583	1303	1110
593	1056	1033
662	1019	1533
633	1327	1332
643	1296	1364
613	1564	1788
553	1527	1143
562	1538	1184
634	1397	1502
625	384	1809
595	223	1817
476	497	952
498	465	944
313	1379	1468
561	1761	1657
598	1267	1120
651	575	1498
607	864	978
634	906	1093
643	1286	1574
597	341	1957
413	1393	898
349	637	1233
304	607	1427
342	1118	1225
394	1004	1069
298	890	1538
298	837	1548
371	583	1288
353	1493	1477
